Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
1,Switzerland,190.8,111.0,78.7,74.5,131.7,8.4,28.7,20.1,80.0,2021
2,Denmark,190.0,94.7,73.3,80.0,91.7,6.7,28.7,20.4,81.8,2021
3,Netherlands,183.3,83.9,72.8,75.8,78.6,7.4,27.8,25.3,87.1,2021
4,Finland,182.8,89.1,73.0,76.4,77.5,8.6,29.0,11.9,56.6,2021
5,Austria,182.4,78.2,74.8,78.4,75.5,10.4,25.7,19.2,77.8,2021
6,Australia,181.5,99.3,57.6,77.7,84.1,7.4,35.0,23.5,92.7,2021
7,Iceland,179.1,71.9,75.9,65.7,96.8,6.3,20.0,16.2,68.8,2021
8,Germany,176.8,93.7,64.6,73.8,70.6,9.1,31.4,27.5,83.0,2021
9,New Zealand,175.8,81.4,57.7,73.6,79.1,8.1,30.7,23.8,96.4,2021
10,Norway,173.6,79.4,66.6,75.5,106.1,8.5,26.9,18.1,68.7,2021
11,Estonia,173.6,61.2,76.6,72.8,56.5,9.1,24.7,19.0,64.3,2021
12,Oman,172.1,84.4,79.7,58.4,50.2,5.8,23.0,37.6,67.2,2021
13,Sweden,171.4,90.6,52.8,68.8,79.2,8.6,29.9,18.4,74.9,2021
14,Slovenia,168.2,56.1,78.2,65.3,59.4,10.9,26.8,22.7,77.6,2021
15,United States,167.0,102.6,52.3,69.0,71.9,4.0,32.9,38.9,77.3,2021
16,Spain,164.5,62.7,66.9,78.8,59.1,9.6,29.4,39.6,93.2,2021
17,Japan,162.3,76.5,78.0,80.7,87.8,13.0,39.9,39.4,85.3,2021
18,Portugal,161.9,45.0,70.1,71.9,52.9,12.7,29.6,29.6,97.7,2021
19,Lithuania,160.0,54.6,66.2,71.0,47.7,11.0,25.7,27.0,69.9,2021
20,Canada,160.0,82.8,58.8,71.8,70.1,7.5,33.7,28.1,56.7,2021
21,United Kingdom,159.0,82.6,54.7,74.9,71.0,9.6,34.4,40.2,88.0,2021
22,Czech Republic,156.3,56.4,74.7,75.4,49.2,15.5,29.7,36.3,77.1,2021
23,Croatia,156.1,43.1,75.1,64.2,56.4,14.2,28.1,30.6,89.7,2021
24,United Arab Emirates,156.0,85.7,84.6,68.0,61.7,4.9,36.3,50.4,45.2,2021
25,Qatar,154.6,93.1,87.7,73.0,64.2,6.0,30.5,60.2,36.0,2021
26,Belgium,150.9,76.5,55.8,75.2,78.5,6.9,36.2,50.3,86.0,2021
27,Ireland,150.9,73.8,55.0,52.8,83.1,7.4,37.7,33.6,89.1,2021
28,France,150.7,74.1,50.8,81.0,80.6,13.5,34.5,41.8,89.9,2021
29,Slovakia,149.7,50.4,70.3,60.9,49.1,11.1,27.8,39.1,78.1,2021
30,Latvia,147.6,45.9,62.8,62.2,52.9,8.5,31.2,33.9,74.7,2021
31,Saudi Arabia,147.4,88.2,74.1,60.7,49.9,2.6,28.4,64.1,46.0,2021
32,Israel,144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8,2021
33,Cyprus,144.1,52.3,68.0,52.7,64.0,7.1,23.4,56.8,93.3,2021
34,Singapore,143.8,83.6,67.0,70.9,85.6,19.4,41.2,33.2,57.5,2021
35,Taiwan,138.8,56.1,84.8,86.4,65.2,23.6,31.3,62.9,81.6,2021
36,Italy,138.6,58.7,55.6,66.8,73.1,9.5,34.2,53.9,91.5,2021
37,Hungary,134.0,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5,2021
38,Poland,132.6,47.1,70.7,58.3,42.0,14.0,31.3,54.3,75.9,2021
39,South Africa,132.2,72.9,22.9,63.9,41.7,4.0,39.3,57.0,95.3,2021
40,Romania,131.7,45.2,71.7,56.1,38.5,10.7,34.1,58.4,77.7,2021
41,Puerto Rico,130.8,69.2,36.6,55.6,69.5,3.6,34.2,50.4,71.2,2021
42,South Korea,130.0,76.6,73.1,82.3,81.2,23.6,39.9,61.8,68.4,2021
43,Greece,129.9,38.9,55.9,57.0,61.0,10.1,33.9,51.9,94.2,2021
44,Bulgaria,126.3,40.3,61.9,56.1,40.9,9.0,29.4,64.5,82.8,2021
45,Turkey,126.0,35.3,60.5,70.7,31.5,8.2,44.6,66.2,93.3,2021
46,Bosnia And Herzegovina,125.7,42.6,57.0,53.5,38.6,10.7,25.9,60.7,80.5,2021
47,Uruguay,124.6,30.6,48.8,67.7,51.1,17.3,37.7,45.7,98.0,2021
48,Costa Rica,121.7,39.0,44.7,62.9,50.6,10.1,60.2,44.1,99.5,2021
49,Mexico,120.3,35.5,45.0,72.5,35.1,10.5,39.0,61.2,86.6,2021
50,Georgia,118.9,25.7,77.4,53.8,28.0,14.2,35.4,69.7,88.5,2021
51,Ecuador,118.8,30.5,45.6,68.8,40.1,12.6,39.6,58.3,94.5,2021
52,Malaysia,116.9,56.1,42.1,69.6,39.5,9.9,37.0,62.6,59.1,2021
53,Serbia,116.2,35.8,61.7,51.6,39.2,17.1,31.1,61.2,83.2,2021
54,Jordan,114.0,33.1,59.3,65.4,52.2,8.0,41.4,76.1,89.0,2021
55,Kuwait,114.0,75.3,66.0,59.0,49.4,13.2,33.7,66.7,20.2,2021
56,Argentina,110.5,34.6,36.7,68.6,37.9,22.7,43.2,50.7,98.3,2021
57,Panama,110.3,32.1,54.2,60.4,54.1,12.3,37.6,59.8,67.8,2021
58,North Macedonia,108.5,32.0,61.4,56.5,34.1,12.7,27.2,80.0,76.3,2021
59,Ukraine,107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8,2021
60,Belarus,107.3,32.0,39.7,44.4,30.7,16.8,30.1,44.5,64.4,2021
61,Pakistan,105.1,27.3,56.1,60.5,21.6,12.6,37.8,73.4,73.6,2021
62,Brazil,104.7,28.7,32.2,57.3,31.8,16.1,41.7,54.5,92.4,2021
