Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
Switzerland,222.9,146.5,73.2,66.3,126.0,7.3,25.6,24.1,-,2015
Germany,195.9,111.8,71.5,75.6,76.3,6.6,31.1,28.3,-,2015
Sweden,193.9,110.9,57.9,76.3,82.9,9.2,26.9,15.1,-,2015
United States,192.5,126.1,50.0,67.8,76.5,2.6,36.0,31.4,-,2015
Finland,190.2,101.2,70.5,69.4,89.7,7.0,33.2,14.9,-,2015
Denmark,190.2,105.7,74.3,79.3,100.6,5.0,27.8,31.8,-,2015
Austria,182.6,104.6,73.8,78.4,76.9,9.6,25.9,34.0,-,2015
Australia,180.8,110.4,57.8,71.9,99.3,7.1,36.2,21.6,-,2015
Canada,177.6,105.1,62.5,69.6,81.8,5.5,38.9,27.3,-,2015
New Zealand,175.5,91.0,60.2,72.6,93.7,5.8,28.1,17.6,-,2015
Norway,175.1,96.3,68.8,75.5,118.6,7.7,25.3,23.7,-,2015
Saudi Arabia,169.4,126.2,65.4,59.0,50.4,3.1,26.1,71.0,-,2015
Japan,168.3,98.2,79.8,87.1,80.4,9.2,51.0,38.2,-,2015
Netherlands,166.8,102.0,64.6,67.2,86.0,6.2,35.5,35.0,-,2015
United Kingdom,156.9,98.1,58.0,73.9,92.2,8.6,34.0,34.0,-,2015
United Arab Emirates,153.7,104.6,77.8,55.6,67.2,6.2,29.9,61.3,-,2015
Ireland,148.9,95.7,50.9,49.5,92.1,6.1,32.6,28.0,-,2015
France,139.3,92.6,50.3,82.6,88.4,9.7,28.6,45.9,-,2015
Belgium,136.0,86.2,58.0,77.9,87.2,6.5,26.7,53.8,-,2015
Spain,134.9,76.7,66.1,73.2,65.7,9.6,28.9,46.3,-,2015
Slovenia,134.5,64.2,71.3,53.9,65.1,10.6,18.8,31.4,-,2015
Portugal,129.2,58.2,64.2,65.6,58.2,8.3,28.2,32.6,-,2015
Czech Republic,127.5,68.1,67.1,67.2,48.5,10.6,31.5,42.9,-,2015
Israel,120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,-,2015
South Korea,120.0,85.8,82.0,78.1,82.9,11.0,31.3,77.1,-,2015
Lithuania,112.9,46.9,63.3,70.1,52.8,12.9,31.3,29.6,-,2015
Croatia,112.3,50.5,70.7,57.3,58.9,12.5,30.5,32.8,-,2015
Singapore,111.3,75.4,82.4,66.1,93.6,21.4,44.1,40.4,-,2015
South Africa,110.9,101.8,21.6,60.1,45.6,3.1,43.0,65.2,-,2015
Poland,109.7,63.5,67.0,58.0,45.1,10.6,34.7,50.6,-,2015
Italy,101.0,79.4,52.5,65.8,82.7,11.7,35.9,57.7,-,2015
Greece,94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,-,2015
Hungary,93.1,46.9,58.2,51.6,48.9,8.6,30.1,46.3,-,2015
Malaysia,85.3,73.5,30.0,69.1,46.0,8.4,39.4,64.7,-,2015
Mexico,85.0,59.5,46.2,67.8,41.3,6.3,36.9,68.8,-,2015
Romania,83.6,40.6,70.3,46.6,42.4,11.8,30.7,50.5,-,2015
Hong Kong,83.0,74.9,80.8,80.6,75.2,30.1,46.2,59.5,-,2015
Turkey,82.5,53.6,63.6,74.0,49.6,6.7,46.3,74.3,-,2015
India,78.6,65.8,53.5,66.9,26.3,10.1,45.2,77.7,-,2015
Argentina,77.0,59.4,37.6,75.2,67.1,11.6,41.4,55.9,-,2015
Bosnia And Herzegovina,73.5,44.7,54.2,52.1,42.3,12.5,21.9,58.5,-,2015
Bulgaria,68.3,39.9,56.5,58.5,43.6,9.4,33.4,64.0,-,2015
Chile,65.5,55.1,55.0,58.5,53.2,10.8,40.8,72.4,-,2015
Serbia,60.3,39.1,56.6,54.1,43.3,17.1,27.8,56.6,-,2015
Colombia,47.7,36.1,43.1,68.9,38.9,14.4,44.5,61.4,-,2015
Thailand,47.4,38.8,62.9,82.5,46.5,20.8,42.4,72.8,-,2015
Philippines,37.0,35.4,56.9,71.7,40.0,18.5,45.5,74.2,-,2015
Brazil,29.8,41.2,31.0,52.2,55.3,16.7,46.3,58.0,-,2015
Russia,28.4,38.9,48.7,51.8,61.9,14.6,47.1,72.8,-,2015
Indonesia,22.7,26.0,52.8,66.1,39.3,18.9,41.6,74.4,-,2015
Pakistan,21.8,33.2,38.8,51.2,30.7,14.3,25.1,83.7,-,2015
Ukraine,20.1,27.9,50.6,44.3,41.3,17.4,40.0,69.9,-,2015
China,16.0,48.6,58.3,58.7,48.9,26.4,37.5,89.4,-,2015
Iran,1.1,30.6,49.1,50.1,44.5,20.8,47.4,82.3,-,2015
Egypt,-7.1,25.8,39.9,54.7,37.2,11.3,56.9,96.6,-,2015
Switzerland,208.5,178.7,74.3,68.9,123.1,8.6,28.7,23.0,70.5,2016
Denmark,206.5,142.1,74.3,81.9,84.9,5.9,25.6,29.9,70.6,2016
New Zealand,201.1,115.5,63.6,72.6,78.2,6.3,31.1,19.0,88.4,2016
Germany,199.7,147.6,67.0,75.8,65.5,7.1,29.1,29.9,63.0,2016
Australia,198.8,147.3,56.9,73.7,78.5,8.4,34.7,22.9,77.3,2016
Austria,192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8,2016
Netherlands,192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3,2016
Norway,188.9,125.8,69.9,74.2,99.8,7.4,29.5,18.2,56.3,2016
Spain,186.4,105.3,68.2,75.9,56.1,8.1,30.5,46.6,90.8,2016
Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8,2016
Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6,2016
United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6,2016
Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7,2016
United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6,2016
Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2,2016
Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6,2016
Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5,2016
France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3,2016
Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6,2016
Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1,2016
South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3,2016
Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5,2016
Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9,2016
Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1,2016
Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0,2016
Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2,2016
Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8,2016
South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4,2016
Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3,2016
Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7,2016
Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3,2016
Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0,2016
United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9,2016
Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7,2016
Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2,2016
Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8,2016
Lithuania,134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
Colombia,128.5,46.0,51.5,73.2,29.2,16.3,44.2,64.4,84.5,2016
India,109.3,89.6,53.4,66.5,24.1,10.5,46.0,77.0,19.7,2016
