Country,Quality_of_Life_Index,Purchasing_Power_Index,Cost_of_Living_Index,Property_Price_to_Income_Ratio,Year,GDP_Per_Capita,ISO3
Argentina,77.0,59.4,67.1,11.6,2015,14833.199680295318,ARG
Australia,180.8,110.4,99.3,7.1,2015,52009.80275936684,AUS
Austria,182.6,104.6,76.9,9.6,2015,43908.42027675172,AUT
Belgium,136.0,86.2,87.2,6.5,2015,40889.67357018936,BEL
Brazil,29.8,41.2,55.3,16.7,2015,8936.195589027786,BRA
Canada,177.6,105.1,81.8,5.5,2015,43281.73923304082,CAN
Chile,65.5,55.1,53.2,10.8,2015,13436.48572659643,CHL
Colombia,47.7,36.1,38.9,14.4,2015,6248.5149061047805,COL
Croatia,112.3,50.5,58.9,12.5,2015,12071.503835917894,HRV
Denmark,190.2,105.7,100.6,5.0,2015,53091.97692447884,DNK
Finland,190.2,101.2,89.7,7.0,2015,42558.901035628274,FIN
France,139.3,92.6,88.4,9.7,2015,36410.97342855247,FRA
Germany,195.9,111.8,76.3,6.6,2015,41711.386986539306,DEU
India,78.6,65.8,26.3,10.1,2015,1616.5052738048114,IND
Indonesia,22.7,26.0,39.3,18.9,2015,3288.2226973762354,IDN
Ireland,148.9,95.7,92.1,6.1,2015,64304.57511951327,IRL
Israel,120.4,88.2,79.3,10.7,2015,37684.51907010941,ISR
Japan,168.3,98.2,80.4,9.2,2015,34923.59221050302,JPN
Lithuania,112.9,46.9,52.8,12.9,2015,14296.05254150161,LTU
Malaysia,85.3,73.5,46.0,8.4,2015,9648.662787673711,MYS
Mexico,85.0,59.5,41.3,6.3,2015,10021.238822657351,MEX
Netherlands,166.8,102.0,86.0,6.2,2015,45345.41653927471,NLD
Norway,175.1,96.3,118.6,7.7,2015,74793.18687578516,NOR
Philippines,37.0,35.4,40.0,18.5,2015,2909.85818379559,PHL
Singapore,111.3,75.4,93.6,21.4,2015,55742.91270209579,SGP
South Africa,110.9,101.8,45.6,3.1,2015,6108.330751560012,ZAF
Spain,134.9,76.7,65.7,9.6,2015,25836.96534916125,ESP
Sweden,193.9,110.9,82.9,9.2,2015,51196.41168962552,SWE
Switzerland,222.9,146.5,126.0,7.3,2015,83790.88804662468,CHE
Thailand,47.4,38.8,46.5,20.8,2015,5688.852581486353,THA
United Arab Emirates,153.7,104.6,67.2,6.2,2015,42684.857049312064,ARE
United States,192.5,126.1,76.5,2.6,2015,56097.92264134858,USA
Argentina,138.5,74.9,64.1,12.2,2016,12699.962238672206,ARG
Australia,198.8,147.3,78.5,8.4,2016,53703.28038199053,AUS
Austria,192.4,120.5,66.6,9.5,2016,45055.068602782725,AUT
Belgium,162.3,106.7,75.4,6.6,2016,41849.82615704252,BEL
Brazil,101.0,48.7,38.9,17.9,2016,8836.285460325758,BRA
Canada,177.2,134.8,64.8,6.1,2016,42031.7947276794,CAN
Chile,147.3,78.4,43.9,9.9,2016,13647.32525265335,CHL
Colombia,128.5,46.0,29.2,16.3,2016,5959.842503675744,COL
Croatia,172.4,67.9,48.2,11.9,2016,12731.102600027887,HRV
Denmark,206.5,142.1,84.9,5.9,2016,54499.10877293464,DNK
Finland,184.0,132.9,75.2,7.7,2016,18665.53668984073,FIN
France,173.6,118.5,75.3,11.9,2016,43449.94372502405,FRA
Germany,199.7,147.6,65.5,7.1,2016,36729.02051520284,DEU
India,109.3,89.6,24.1,10.5,2016,42747.45949419747,IND
Indonesia,72.2,35.5,36.3,19.5,2016,1704.3761742869074,IDN
Ireland,171.9,125.7,78.0,8.5,2016,3521.469434561396,IRL
Israel,166.6,115.5,75.7,10.6,2016,64317.43835670566,ISR
